Delta,Feature,Mu_star,Morris_sensitivity
2e-06,AGE4049,6.384976042339095e-05,3.9599992694427365e-06
2e-06,VaccinationFull,0.08207076668152878,0.015213231362730086
4e-06,AGE4049,5.670239918196659e-05,3.5167157691319826e-06
4e-06,VaccinationFull,0.04183267148724528,0.00775440678318627
6e-06,AGE4049,5.622590843253829e-05,3.487163535777932e-06
6e-06,VaccinationFull,0.028364620747092187,0.0052578714125589695
8e-06,AGE4049,5.705976724403781e-05,3.5388799441475203e-06
8e-06,VaccinationFull,0.021629404150142077,0.00400938291280961
1e-05,AGE4049,5.641650473230961e-05,3.498984429119552e-06
1e-05,VaccinationFull,0.01757331238243996,0.0032575163836474656
2e-05,AGE4049,0.003477667734702379,0.0002156869751345359
2e-05,VaccinationFull,0.016985132201345676,0.0031484870478709097
4e-05,AGE4049,0.004267022310205286,0.00026464320490885557
4e-05,VaccinationFull,0.00919291220418254,0.0017040647469785382
6e-05,AGE4049,0.02106940442612023,0.0013067367141516141
6e-05,VaccinationFull,0.0094831506611718,0.001757865448191351
8e-05,AGE4049,0.01729105713088174,0.0010724014178305331
8e-05,VaccinationFull,0.007473638282095381,0.0013853676882058796
0.0001,AGE4049,0.01724341401207328,0.001069446563898045
0.0001,VaccinationFull,0.00626041183062355,0.0011604752514963901
