Delta,Feature,Mu_star,Morris_sensitivity
0.0002,AGE5064,0.005689835600266896,0.0004837332550344152
0.0002,VaccinationFull,0.0044457539903158365,0.0008240971392274978
0.0004,AGE5064,0.004951187979091275,0.0004209355850810074
0.0004,VaccinationFull,0.003995945531628657,0.0007407173874886706
0.0006,AGE5064,0.004685027790897499,0.00039830742088773816
0.0006,VaccinationFull,0.003381106090179487,0.0006267462982457192
0.0008,AGE5064,0.0038872305934659714,0.00033048102619317364
0.0008,VaccinationFull,0.002933752948616548,0.0005438216818612977
0.001,AGE5064,0.004234589967345449,0.0003600125087171247
0.001,VaccinationFull,0.00269074087956781,0.0004987752057546446
0.002,AGE5064,0.0035683910969027764,0.0003033742205942889
0.002,VaccinationFull,0.0018934653600917826,0.0003509864445664362
0.004,AGE5064,0.003633492360279541,0.00030890894044429963
0.004,VaccinationFull,0.0015002242154591064,0.00027809241961043263
0.006,AGE5064,0.003430406205569085,0.0002916431469184017
0.006,VaccinationFull,0.0012689905609530481,0.0002352292756787945
0.008,AGE5064,0.0030036487810367477,0.00025536147331970446
0.008,VaccinationFull,0.001208443913819819,0.0002240059109129978
0.01,AGE5064,0.0027155255458993226,0.000230866074827429
0.01,VaccinationFull,0.0031256024428833987,0.0005793842927776794
