Delta,Feature,Mu_star,Morris_sensitivity
-0.01,AGE5064,-7.57401105846245e-06,-6.439203661358578e-07
-0.01,VaccinationFull,-0.00014052974901126276,-2.6049611469462463e-05
-0.009,AGE5064,-6.952688298574602e-06,-5.910973142618428e-07
-0.009,VaccinationFull,-0.00013305114728386083,-2.466332372110779e-05
-0.008,AGE5064,-1.193895221767525e-05,-1.0150149536280971e-06
-0.008,VaccinationFull,-0.00013323044678211445,-2.4696559973922855e-05
-0.007,AGE5064,-1.5988715167173352e-05,-1.359314007468352e-06
-0.007,VaccinationFull,-0.00013087240467711783,-2.4259456221187394e-05
-0.006,AGE5064,-8.246625400355427e-06,-7.01104078960787e-07
-0.006,VaccinationFull,-0.0002501852799133194,-4.637615439417285e-05
-0.005,AGE5064,-6.790279073802798e-06,-5.772897548759802e-07
-0.005,VaccinationFull,-0.00024431110195436746,-4.528727424879585e-05
-0.004,AGE5064,-8.33763513349623e-06,-7.088414614696856e-07
-0.004,VaccinationFull,-0.00024416994156984935,-4.5261107738164126e-05
-0.003,AGE5064,4.027617474667531e-06,3.424163100534973e-07
-0.003,VaccinationFull,-0.00024406650336966093,-4.524193368466323e-05
-0.002,AGE5064,1.0054431303686361e-05,8.547984728810057e-07
-0.002,VaccinationFull,-0.0002571387094197265,-4.766509241830384e-05
-0.001,AGE5064,9.76996632627767e-06,8.306140888086885e-07
-0.001,VaccinationFull,-0.00026414169396407405,-4.896321632296039e-05
0.001,AGE5064,-4.8727373508785285e-05,-4.142659411034087e-06
0.001,VaccinationFull,-0.00021742129949188074,-4.030278582860921e-05
0.002,AGE5064,-1.9058915241007483e-05,-1.620333477917203e-06
0.002,VaccinationFull,-0.00022913082141370626,-4.247334756875906e-05
0.003,AGE5064,-1.710172948773078e-05,-1.4539392441198128e-06
0.003,VaccinationFull,-0.0002372545916158341,-4.3979228415494696e-05
0.004,AGE5064,-1.3133871894554046e-05,-1.116603545181452e-06
0.004,VaccinationFull,-0.0002297647923558206,-4.259086501144434e-05
0.005,AGE5064,-3.0739371227117886e-06,-2.613371834628664e-07
0.005,VaccinationFull,-0.00022171619651092757,-4.1098919027698295e-05
0.006,AGE5064,-6.750682692525308e-06,-5.739233858367682e-07
0.006,VaccinationFull,-0.00022397026776714807,-4.151674999133519e-05
0.007,AGE5064,-3.554552920627987e-06,-3.021977391414979e-07
0.007,VaccinationFull,-0.00021224701837373186,-3.93436436276881e-05
0.008,AGE5064,-3.935277538184574e-06,-3.345658375297434e-07
0.008,VaccinationFull,-0.00020031790228652695,-3.713237632356093e-05
0.009,AGE5064,-5.399540229104786e-06,-4.590531878621609e-07
0.009,VaccinationFull,-0.00034855187139504597,-6.46100977955017e-05
0.01,AGE5064,-3.2792569866404388e-06,-2.787928804423661e-07
0.01,VaccinationFull,-0.0003381465205374306,-6.268128664376048e-05
