Delta,Feature,Mu_star,Morris_sensitivity
2e-06,AGE1829,-1.5247703981705302e-05,-1.1991039135558867e-06
2e-06,VaccinationFull,0.0008946113820516157,0.00016583164121879783
4e-06,AGE1829,-1.1912268735707267e-05,-9.367999324655364e-07
4e-06,VaccinationFull,0.000170464565607971,3.159854575021301e-05
6e-06,AGE1829,-1.2388759485135556e-05,-9.742719297641578e-07
6e-06,VaccinationFull,-3.31161070852662e-05,-6.138641312759759e-06
8e-06,AGE1829,-3.3235229772623274e-05,-2.6136718115788466e-06
8e-06,VaccinationFull,-0.00015110712891244668,-2.801031116991279e-05
1e-05,AGE1829,-5.2080438912512166e-05,-4.095689304739325e-06
1e-05,VaccinationFull,-0.00020846470287487714,-3.864252624938697e-05
2e-05,AGE1829,-6.313502429924851e-06,-4.965039642067343e-07
2e-05,VaccinationFull,-0.00028174898013694823,-5.2227030334314325e-05
4e-05,AGE1829,-8.663793051479894e-05,-6.813345908821845e-06
4e-05,VaccinationFull,-0.00038305091346540283,-7.100508994715929e-05
6e-05,AGE1829,-0.000175467718476968,-1.3799063005217349e-05
6e-05,VaccinationFull,-0.0003520790147525639,-6.526391461867893e-05
8e-05,AGE1829,-0.00014730711518575604,-1.1584467964868822e-05
8e-05,VaccinationFull,-0.00038400389496425944,-7.118174149572792e-05
0.0001,AGE1829,-0.00011708807185701384,-9.207993896190248e-06
0.0001,VaccinationFull,-0.00040357813495077357,-7.481016430332749e-05
0.0002,AGE1829,4.042309272774903e-05,3.1789368908285506e-06
0.0002,VaccinationFull,-0.0004532904148386271,-8.402519233440987e-05
0.0004,AGE1829,3.3921376451800006e-05,2.667631487688861e-06
0.0004,VaccinationFull,-0.00046600437926024745,-8.638194480675105e-05
0.0006,AGE1829,-1.401279878943698e-05,-1.101988987223626e-06
0.0006,VaccinationFull,-0.0004772007206449388,-8.845737968799671e-05
0.0008,AGE1829,-1.028028791891537e-05,-8.084583417177579e-07
0.0008,VaccinationFull,-0.00046467199200215864,-8.613496386040855e-05
0.001,AGE1829,1.187224351275529e-05,9.336522846924522e-07
0.001,VaccinationFull,-0.0004640714945351917,-8.602365130336675e-05
0.002,AGE1829,1.8749910990003236e-07,1.4745230937007541e-08
0.002,VaccinationFull,-0.00045914100650548245,-8.510970035395982e-05
0.004,AGE1829,-1.194795900961464e-07,-9.396066728881969e-09
0.004,VaccinationFull,-0.00045948086353251216,-8.517269871246811e-05
0.006,AGE1829,-7.80523613613502e-06,-6.138162970829518e-07
0.006,VaccinationFull,-0.0004619279214837636,-8.562630308678638e-05
0.008,AGE1829,-5.244971924331909e-06,-4.1247301026457566e-07
0.008,VaccinationFull,-0.000455147894902586,-8.43695082840137e-05
0.01,AGE1829,-2.2542777355452428e-07,-1.772800192197781e-08
0.01,VaccinationFull,-0.0005928851937013617,-0.00010990149096957167
