FIPS,White,Black,Asian,Hispanic,AIAN
45083,0.6738537242718683,0.20466040847934586,0.025521574892453283,0.07467446348594652,0.0020609944603151857
45085,0.44628443669710866,0.47195801280836713,0.013793626132100497,0.04284929326613362,0.003618932130812081
45087,0.640471296432242,0.31482161209807663,0.0035971223021582736,0.017948906181177508,0.002789605050653355
45089,0.3177657448591504,0.63923805840263,0.006865209824018565,0.02304518790691678,0.0031908721717269386
45091,0.690414406749619,0.18965578361515828,0.02965011166648942,0.062143287603247194,0.006809883370555496
46003,0.8693119767018566,0.006552602839461231,0.0072806698216235895,0.07717510010921005,0.02730251183108846
46005,0.7369575434748551,0.010131077340853308,0.1037129876233746,0.11708183194944906,0.011958849026058802
46007,0.31795326826382725,0.005323868677905945,0.005028098195800059,0.061224489795918366,0.5607808340727596
46009,0.8569184635156362,0.014422390404112523,0.002570327002713123,0.02941596458660574,0.08367842353277168
46011,0.89056,0.014574545454545455,0.029556363636363638,0.038807272727272725,0.01024
46013,0.8528759040233936,0.017440797890394506,0.03448996109762147,0.03772747447847315,0.03454217905537715
46015,0.8198970840480274,0.006289308176100629,0.00476462740613684,0.03201829616923957,0.10005717552887364
46017,0.14835728952772073,0.00513347022587269,0.001026694045174538,0.04568788501026694,0.7720739219712526
46019,0.9014937030166943,0.00546714829639754,0.005271893000097627,0.04168700576003124,0.02059943375964073
46021,0.9419026870007262,0.002904865649963689,0.002904865649963689,0.03195352214960058,0.012345679012345678
46023,0.6055691880934599,0.004480955937266617,0.002560546249866638,0.040328603435399554,0.3174010455563854
46025,0.9306750065155069,0.015376596299192077,0.0026062027625749283,0.03778994005733646,0.004430544696377378
46027,0.8649695997861963,0.015968463954032203,0.025121934923498363,0.032872319102024455,0.03708157947484466
46029,0.9120564872021183,0.0073433362753751105,0.007378640776699029,0.0347396293027361,0.023618711385701676
46031,0.2683239364428498,0.004356740133264992,0.004356740133264992,0.05099948744233726,0.6373654536135315
46033,0.8861505169511902,0.00793459966338062,0.008175042077422458,0.041115652801154125,0.036186583313296466
46035,0.8937662858288234,0.008518741230707557,0.008067749047905392,0.039486871116456206,0.031068350370815796
