FIPS,Poor or fair health,Adult obesity,Physical inactivity,Diabetes prevalence,Food insecurity
4027,0.260994683,0.379,0.243,0.12,0.188
5001,0.277160557,0.35,0.392,0.185,0.193
5003,0.276620964,0.42,0.445,0.135,0.196
5005,0.2136424,0.311,0.298,0.155,0.163
5007,0.199424002,0.311,0.226,0.096,0.116
5009,0.236048646,0.292,0.324,0.11,0.159
5011,0.290246701,0.312,0.374,0.184,0.196
5013,0.267087772,0.258,0.397,0.098,0.169
5015,0.237013427,0.295,0.337,0.088,0.144
5017,0.319582378,0.406,0.351,0.091,0.239
5019,0.229602229,0.264,0.391,0.145,0.175
5021,0.273593794,0.374,0.349,0.098,0.199
5023,0.228802834,0.337,0.329,0.128,0.161
5025,0.254299151,0.384,0.337,0.155,0.175
5027,0.268369856,0.435,0.373,0.188,0.198
5029,0.246961736,0.398,0.343,0.17,0.185
5031,0.231883782,0.393,0.334,0.138,0.168
5033,0.243100129,0.389,0.292,0.14,0.16
5035,0.298167442,0.37,0.394,0.166,0.193
5037,0.267968224,0.42,0.37,0.194,0.177
5039,0.274559641,0.398,0.474,0.171,0.178
5041,0.333736958,0.475,0.348,0.095,0.222
5043,0.254066556,0.349,0.319,0.175,0.182
5045,0.206641403,0.365,0.273,0.104,0.156
5047,0.267251316,0.422,0.327,0.144,0.185
5049,0.271110955,0.321,0.328,0.127,0.198
5051,0.226623243,0.288,0.291,0.159,0.176
5053,0.207752364,0.344,0.376,0.169,0.153
5055,0.235395183,0.38,0.347,0.15,0.173
5057,0.29160272,0.316,0.316,0.212,0.182
5059,0.241683963,0.349,0.307,0.157,0.179
5061,0.277155597,0.425,0.421,0.096,0.167
5063,0.237984886,0.297,0.327,0.113,0.17
5065,0.244041224,0.323,0.287,0.162,0.182
5067,0.299817091,0.39,0.27,0.288,0.209
5069,0.280610768,0.425,0.334,0.146,0.2
5071,0.282382692,0.404,0.314,0.129,0.186
5073,0.285141696,0.464,0.322,0.189,0.199
5075,0.249424355,0.379,0.273,0.116,0.185
5077,0.336435074,0.406,0.323,0.144,0.221
5079,0.292328725,0.446,0.368,0.148,0.186
5081,0.251863677,0.337,0.347,0.208,0.18
5083,0.259258333,0.299,0.374,0.153,0.183
5085,0.208885612,0.41,0.314,0.141,0.14
5087,0.275450533,0.31,0.298,0.121,0.157
5089,0.250707357,0.271,0.295,0.14,0.185
5091,0.257446151,0.392,0.318,0.125,0.193
5093,0.304679432,0.429,0.363,0.184,0.216
5095,0.320691037,0.435,0.326,0.19,0.223
5097,0.258206227,0.237,0.269,0.098,0.187
5099,0.277370149,0.434,0.46,0.153,0.212
5101,0.241330177,0.395,0.286,0.127,0.157
5103,0.287061064,0.408,0.335,0.186,0.199
5105,0.256792344,0.361,0.295,0.123,0.176
5107,0.333048257,0.449,0.361,0.207,0.256
5109,0.253158399,0.287,0.319,0.169,0.182
5111,0.283629966,0.413,0.329,0.21,0.193
5113,0.271762725,0.359,0.296,0.137,0.196
5115,0.246827006,0.347,0.293,0.146,0.168
5117,0.249954856,0.36,0.504,0.132,0.172
5119,0.225262209,0.339,0.267,0.121,0.167
5121,0.265239417,0.33,0.368,0.17,0.178
5123,0.313668814,0.482,0.31,0.154,0.216
5125,0.189116405,0.301,0.263,0.108,0.129
5127,0.301083373,0.378,0.375,0.166,0.186
5129,0.271489577,0.252,0.303,0.176,0.189
5131,0.264220572,0.347,0.305,0.146,0.178
5133,0.29559797,0.326,0.362,0.151,0.157
5135,0.283184735,0.407,0.39,0.21,0.2
5137,0.270107808,0.405,0.349,0.144,0.197
5139,0.248158962,0.35,0.375,0.132,0.18
5141,0.255314313,0.368,0.278,0.164,0.188
5143,0.230815826,0.319,0.264,0.095,0.138
5145,0.232386323,0.329,0.345,0.173,0.167
5147,0.286417043,0.333,0.375,0.271,0.215
5149,0.275571939,0.368,0.362,0.136,0.164
6001,0.149698913,0.222,0.146,0.07,0.091
6003,0.203460336,0.168,0.202,0.068,0.145
6005,0.167204661,0.301,0.244,0.17,0.109
6007,0.188524834,0.302,0.231,0.104,0.142
6009,0.160796595,0.283,0.268,0.108,0.122
6011,0.241875415,0.39,0.262,0.155,0.138
6013,0.149211946,0.251,0.161,0.085,0.085
6015,0.226300881,0.339,0.328,0.169,0.167
6017,0.132978004,0.256,0.182,0.08,0.091
6019,0.248720653,0.33,0.227,0.097,0.152
6021,0.233200307,0.342,0.214,0.112,0.142
6023,0.182264017,0.249,0.162,0.098,0.141
6025,0.294080817,0.328,0.272,0.092,0.192
6027,0.17289254,0.27,0.269,0.117,0.105
6029,0.267241097,0.312,0.251,0.097,0.143
6031,0.253928701,0.34,0.243,0.129,0.144
6033,0.212181389,0.224,0.233,0.105,0.157
6035,0.205531187,0.328,0.336,0.147,0.125
6037,0.212982703,0.221,0.165,0.088,0.114
6039,0.256677882,0.368,0.298,0.121,0.132
6041,0.117550085,0.176,0.131,0.082,0.074
6043,0.171047116,0.156,0.179,0.082,0.134
6045,0.201368212,0.304,0.164,0.107,0.135
6047,0.284086598,0.334,0.274,0.131,0.15
6049,0.208641578,0.256,0.243,0.116,0.147
6051,0.159479723,0.285,0.136,0.107,0.085
6053,0.235620473,0.249,0.19,0.091,0.105
6055,0.159114769,0.241,0.176,0.098,0.079
6057,0.139272944,0.181,0.138,0.055,0.107
6059,0.168927773,0.199,0.145,0.086,0.085
6061,0.12542566,0.202,0.137,0.07,0.083
6063,0.154896433,0.236,0.232,0.074,0.136
6065,0.202705831,0.283,0.195,0.097,0.1
6067,0.183091783,0.299,0.198,0.094,0.119
6069,0.200736896,0.357,0.26,0.097,0.075
6071,0.243310252,0.308,0.221,0.104,0.107
6073,0.157811567,0.203,0.149,0.076,0.096
6075,0.126433419,0.169,0.146,0.061,0.102
6077,0.223363128,0.355,0.256,0.103,0.124
6079,0.152139385,0.286,0.156,0.091,0.092
6081,0.130577907,0.229,0.156,0.081,0.068
6083,0.193045839,0.242,0.14,0.08,0.095
6085,0.14330467,0.199,0.158,0.085,0.072
6087,0.162637464,0.193,0.111,0.062,0.103
6089,0.171984002,0.266,0.17,0.124,0.142
6091,0.170138074,0.191,0.26,0.07,0.105
6093,0.187099267,0.345,0.251,0.101,0.161
6095,0.17164608,0.292,0.224,0.094,0.1
6097,0.151240671,0.239,0.157,0.083,0.09
6099,0.220980878,0.315,0.233,0.102,0.124
6101,0.221380888,0.297,0.295,0.131,0.138
6103,0.219259345,0.347,0.281,0.112,0.158
6105,0.200848904,0.289,0.215,0.097,0.161
6107,0.280261416,0.372,0.263,0.109,0.159
6109,0.169067007,0.297,0.223,0.08,0.128
6111,0.176414063,0.202,0.181,0.087,0.082
6113,0.175560255,0.244,0.147,0.078,0.106
6115,0.211927869,0.294,0.317,0.127,0.144
8001,0.18126802,0.286,0.186,0.074,0.093
8003,0.219529964,0.31,0.208,0.075,0.146
8005,0.135940216,0.227,0.161,0.071,0.092
8007,0.137119047,0.242,0.12,0.058,0.106
8009,0.190615959,0.31,0.284,0.137,0.143
8011,0.224615615,0.33,0.237,0.123,0.165
8013,0.111971493,0.143,0.089,0.055,0.09
8014,0.100183365,0.195,0.121,0.069,0.075
8015,0.141421787,0.163,0.155,0.081,0.107
8017,0.156923702,0.238,0.25,0.096,0.097
8019,0.107968987,0.212,0.142,0.063,0.081
8021,0.237575815,0.272,0.227,0.102,0.138
8023,0.274434489,0.247,0.251,0.179,0.18
8025,0.238281057,0.294,0.272,0.078,0.179
8027,0.137616463,0.209,0.198,0.113,0.127
8029,0.184517687,0.24,0.184,0.11,0.141
8031,0.155167604,0.173,0.126,0.051,0.11
8033,0.160547459,0.217,0.166,0.078,0.131
8035,0.085909208,0.201,0.09,0.056,0.059
8037,0.128658364,0.161,0.116,0.043,0.062
8039,0.115913,0.249,0.17,0.067,0.067
8041,0.136881437,0.229,0.156,0.066,0.109
8043,0.181121381,0.302,0.207,0.084,0.14
8045,0.152015557,0.245,0.166,0.048,0.081
8047,0.107478028,0.216,0.149,0.057,0.068
8049,0.130928212,0.18,0.137,0.065,0.089
8051,0.122596581,0.142,0.12,0.031,0.096
8053,0.129585369,0.238,0.22,0.101,0.13
8055,0.17459366,0.263,0.227,0.094,0.15
8057,0.162625329,0.24,0.287,0.104,0.102
8059,0.116240123,0.212,0.133,0.062,0.083
8061,0.161632258,0.283,0.298,0.087,0.105
8063,0.16974638,0.32,0.217,0.111,0.1
8065,0.18832923,0.272,0.163,0.081,0.116
8067,0.126555893,0.182,0.135,0.054,0.087
8069,0.112217978,0.209,0.116,0.054,0.095
8071,0.196693424,0.315,0.271,0.131,0.138
8073,0.175390952,0.301,0.246,0.07,0.116
8075,0.176360034,0.36,0.223,0.099,0.118
8077,0.155706461,0.258,0.15,0.086,0.126
8079,0.115743788,0.175,0.178,0.094,0.104
8081,0.167168059,0.204,0.214,0.083,0.115
8083,0.177517574,0.282,0.198,0.128,0.138
8085,0.174340675,0.201,0.19,0.082,0.128
8087,0.18735951,0.349,0.216,0.093,0.093
8089,0.225902135,0.347,0.24,0.126,0.163
8091,0.109905807,0.206,0.168,0.069,0.109
8093,0.117555403,0.185,0.172,0.056,0.08
8095,0.154632058,0.313,0.23,0.095,0.081
8097,0.098474067,0.147,0.123,0.039,0.082
8099,0.202072925,0.359,0.208,0.126,0.134
8101,0.200876488,0.31,0.232,0.1,0.141
8103,0.152690507,0.232,0.184,0.065,0.11
8105,0.193247672,0.288,0.232,0.111,0.136
8107,0.111815221,0.161,0.102,0.053,0.087
8109,0.218235247,0.27,0.262,0.138,0.13
8111,0.135913001,0.203,0.188,0.076,0.095
8113,0.109815824,0.162,0.155,0.035,0.096
8115,0.171503146,0.253,0.274,0.113,0.127
8117,0.118570534,0.154,0.102,0.04,0.084
8119,0.123377606,0.228,0.147,0.071,0.1
8121,0.157302237,0.295,0.285,0.134,0.099
8123,0.150097181,0.292,0.186,0.075,0.085
8125,0.171143652,0.305,0.214,0.083,0.11
9001,0.119167196,0.212,0.173,0.073,0.099
9003,0.138027491,0.272,0.209,0.102,0.117
9005,0.113264857,0.267,0.19,0.082,0.098
9007,0.110792815,0.269,0.184,0.084,0.097
9009,0.153383474,0.288,0.216,0.102,0.121
9011,0.136051813,0.304,0.205,0.098,0.118
9013,0.10860575,0.263,0.18,0.079,0.092
9015,0.154936215,0.31,0.24,0.11,0.119
10001,0.210208587,0.384,0.309,0.139,0.125
10003,0.166045699,0.302,0.247,0.106,0.107
10005,0.18885227,0.333,0.309,0.129,0.109
11001,0.146866004,0.24,0.174,0.081,0.116
12001,0.180508475,0.272,0.234,0.093,0.139
12003,0.218099984,0.383,0.338,0.145,0.135
12005,0.213544613,0.3,0.31,0.12,0.149
12007,0.248071841,0.371,0.35,0.126,0.163
12009,0.185507085,0.288,0.268,0.131,0.125
12011,0.200317149,0.246,0.237,0.091,0.116
12013,0.257232885,0.369,0.414,0.167,0.14
12015,0.18141828,0.276,0.262,0.128,0.134
12017,0.197634055,0.287,0.357,0.133,0.155
12019,0.190682761,0.332,0.295,0.12,0.113
12021,0.183168314,0.219,0.229,0.091,0.105
12023,0.230593855,0.368,0.367,0.15,0.152
12027,0.291942433,0.313,0.357,0.143,0.164
12029,0.274080369,0.331,0.434,0.146,0.181
12031,0.203354266,0.32,0.267,0.13,0.141
12033,0.186605897,0.294,0.288,0.13,0.136
12035,0.185994739,0.266,0.262,0.126,0.124
12037,0.238536872,0.344,0.314,0.116,0.163
12039,0.268418463,0.435,0.353,0.205,0.18
12041,0.236911833,0.377,0.352,0.151,0.151
12043,0.267422666,0.39,0.35,0.21,0.143
12045,0.205361816,0.326,0.319,0.132,0.142
12047,0.283874539,0.398,0.37,0.149,0.198
12049,0.319445279,0.397,0.362,0.164,0.152
12051,0.324527943,0.35,0.348,0.129,0.162
12053,0.214005746,0.323,0.311,0.152,0.138
12055,0.231790878,0.304,0.341,0.155,0.156
12057,0.195039654,0.264,0.234,0.106,0.123
12059,0.268574998,0.358,0.374,0.145,0.186
12061,0.186326073,0.266,0.256,0.109,0.126
12063,0.248872531,0.371,0.373,0.161,0.166
12065,0.219166076,0.351,0.261,0.143,0.136
12067,0.277673848,0.339,0.333,0.142,0.147
12069,0.198696474,0.314,0.284,0.129,0.124
12071,0.195012756,0.25,0.245,0.108,0.12
12073,0.167506351,0.311,0.218,0.082,0.137
12075,0.241773878,0.333,0.366,0.16,0.159
12077,0.259531351,0.399,0.372,0.128,0.147
12079,0.276446356,0.359,0.328,0.163,0.185
12081,0.179996447,0.263,0.251,0.11,0.119
12083,0.232287164,0.328,0.329,0.154,0.144
12085,0.162411698,0.199,0.225,0.102,0.112
12086,0.243154865,0.224,0.229,0.077,0.118
12087,0.171234496,0.209,0.228,0.072,0.109
12089,0.170218719,0.296,0.24,0.108,0.115
12091,0.175808383,0.273,0.292,0.115,0.123
12093,0.279858595,0.338,0.367,0.143,0.149
12095,0.202090549,0.271,0.243,0.088,0.123
12097,0.238949599,0.316,0.294,0.119,0.121
12099,0.192914719,0.222,0.267,0.111,0.116
12101,0.199548251,0.312,0.298,0.126,0.129
12103,0.17792301,0.273,0.233,0.1,0.129
12105,0.224506228,0.365,0.289,0.133,0.137
12107,0.263811875,0.386,0.376,0.178,0.173
12109,0.137480413,0.231,0.216,0.082,0.095
12111,0.214481172,0.312,0.29,0.123,0.133
12113,0.184503143,0.311,0.294,0.117,0.116
12115,0.156675671,0.214,0.225,0.097,0.114
12117,0.166534894,0.263,0.218,0.101,0.105
12119,0.166167705,0.293,0.226,0.166,0.121
12121,0.241253873,0.388,0.364,0.145,0.152
12123,0.277903337,0.355,0.345,0.137,0.164
12125,0.277025172,0.374,0.316,0.141,0.155
12127,0.191528157,0.321,0.287,0.131,0.136
12129,0.191409861,0.397,0.301,0.094,0.121
12131,0.18549391,0.318,0.312,0.127,0.132
12133,0.265687894,0.377,0.349,0.143,0.169
13001,0.261477709,0.343,0.414,0.165,0.157
13003,0.297867104,0.306,0.299,0.128,0.158
13005,0.250372976,0.435,0.375,0.13,0.168
13007,0.236072603,0.361,0.262,0.184,0.173
13009,0.239240203,0.407,0.261,0.122,0.167
13011,0.217135305,0.325,0.359,0.085,0.116
13013,0.198233628,0.388,0.232,0.139,0.106
13015,0.197737529,0.294,0.299,0.093,0.119
13017,0.262629349,0.421,0.411,0.213,0.197
13019,0.24589659,0.367,0.285,0.118,0.172
13021,0.228885085,0.391,0.308,0.186,0.175
13023,0.211658867,0.408,0.34,0.058,0.159
13025,0.246729228,0.336,0.309,0.099,0.165
13027,0.250659671,0.306,0.275,0.124,0.167
13029,0.158902386,0.396,0.291,0.09,0.112
13031,0.215266048,0.366,0.203,0.115,0.159
13033,0.257914041,0.39,0.316,0.205,0.168
13035,0.248565331,0.381,0.266,0.137,0.157
13037,0.31027673,0.35,0.402,0.109,0.183
13039,0.177458757,0.373,0.288,0.118,0.118
13043,0.28072937,0.537,0.281,0.154,0.186
13045,0.21034276,0.361,0.35,0.176,0.136
13047,0.16846445,0.323,0.265,0.165,0.104
13049,0.25764766,0.364,0.342,0.135,0.167
13051,0.192337188,0.298,0.235,0.11,0.132
13053,0.201282763,0.43,0.277,0.108,0.151
13055,0.254707327,0.343,0.238,0.142,0.15
13057,0.139462772,0.283,0.211,0.11,0.079
13059,0.213104676,0.25,0.217,0.074,0.163
13061,0.318286327,0.407,0.428,0.125,0.242
13063,0.250980923,0.369,0.317,0.12,0.149
13065,0.309116768,0.455,0.221,0.178,0.205
13067,0.142509157,0.279,0.212,0.089,0.091
13069,0.247325922,0.342,0.353,0.135,0.16
13071,0.274609557,0.398,0.361,0.162,0.153
13073,0.146668634,0.333,0.27,0.089,0.09
13075,0.238079828,0.288,0.395,0.167,0.162
13077,0.165961683,0.311,0.292,0.136,0.098
13079,0.223601763,0.444,0.41,0.174,0.146
13081,0.277193057,0.361,0.369,0.175,0.196
13083,0.199707494,0.378,0.311,0.238,0.128
13085,0.153403525,0.283,0.238,0.139,0.093
13087,0.251824711,0.274,0.291,0.154,0.176
13089,0.175159901,0.271,0.204,0.108,0.129
13091,0.242719456,0.424,0.254,0.148,0.173
13093,0.260171115,0.393,0.309,0.215,0.175
13095,0.265783211,0.391,0.351,0.167,0.196
13097,0.189932257,0.337,0.25,0.111,0.116
13099,0.272349934,0.46,0.281,0.12,0.179
13101,0.262149646,0.343,0.273,0.116,0.149
13103,0.167584987,0.356,0.317,0.073,0.094
13105,0.243548518,0.444,0.392,0.15,0.154
13107,0.266944437,0.372,0.289,0.199,0.184
13109,0.268741367,0.42,0.255,0.077,0.163
13111,0.180897993,0.287,0.304,0.128,0.138
13113,0.126386503,0.277,0.202,0.084,0.073
13115,0.219709376,0.343,0.328,0.144,0.143
13117,0.119536224,0.265,0.171,0.076,0.06
13119,0.230386439,0.275,0.265,0.148,0.167
13121,0.147984477,0.248,0.206,0.081,0.125
13123,0.199961448,0.251,0.321,0.148,0.135
13125,0.237410055,0.306,0.226,0.126,0.133
13127,0.180391187,0.32,0.302,0.102,0.14
13129,0.229618892,0.325,0.344,0.127,0.146
13131,0.243679901,0.356,0.367,0.221,0.166
13133,0.220544989,0.323,0.361,0.117,0.149
13135,0.166658187,0.323,0.253,0.104,0.09
13137,0.211351849,0.314,0.253,0.087,0.117
13139,0.205649778,0.32,0.25,0.115,0.1
13141,0.311102853,0.301,0.238,0.232,0.174
13143,0.204716237,0.248,0.263,0.078,0.136
13145,0.143467587,0.307,0.2,0.16,0.095
13147,0.230773627,0.317,0.26,0.107,0.139
13149,0.214610376,0.369,0.286,0.089,0.138
13151,0.174916266,0.347,0.248,0.123,0.102
13153,0.187790187,0.37,0.269,0.145,0.128
13155,0.255475584,0.345,0.312,0.146,0.184
13157,0.173142985,0.273,0.319,0.091,0.098
13159,0.238810173,0.351,0.279,0.131,0.138
13161,0.26041381,0.376,0.299,0.202,0.146
13163,0.270352018,0.282,0.298,0.227,0.169
13165,0.281341782,0.35,0.223,0.125,0.172
13167,0.253914113,0.474,0.384,0.224,0.159
13169,0.200019717,0.35,0.301,0.24,0.119
13171,0.213935581,0.374,0.293,0.169,0.146
13173,0.22959395,0.267,0.389,0.228,0.163
13175,0.245251546,0.382,0.373,0.174,0.17
13177,0.170671019,0.402,0.22,0.154,0.106
13179,0.221801024,0.376,0.353,0.128,0.144
13181,0.217382562,0.242,0.299,0.186,0.152
13183,0.224832329,0.327,0.31,0.109,0.146
13185,0.218908374,0.361,0.301,0.17,0.157
13187,0.193590681,0.31,0.29,0.132,0.12
13189,0.251203639,0.404,0.36,0.157,0.17
13191,0.212678593,0.308,0.293,0.176,0.152
13193,0.296476753,0.303,0.426,0.159,0.185
13195,0.205213578,0.245,0.297,0.156,0.133
13197,0.240719114,0.311,0.336,0.14,0.148
13199,0.247443266,0.412,0.383,0.187,0.171
13201,0.223287209,0.24,0.302,0.128,0.151
13205,0.273144675,0.37,0.305,0.095,0.173
13207,0.188586727,0.364,0.372,0.149,0.119
13209,0.22372239,0.303,0.316,0.137,0.158
13211,0.173579756,0.312,0.23,0.146,0.107
13213,0.237784613,0.356,0.319,0.162,0.128
13215,0.210753358,0.379,0.272,0.147,0.169
13217,0.216075507,0.398,0.314,0.175,0.142
13219,0.117371307,0.247,0.241,0.098,0.071
13221,0.215816842,0.374,0.394,0.107,0.124
13223,0.171916537,0.371,0.255,0.095,0.09
13225,0.225911584,0.416,0.372,0.156,0.161
13227,0.164566852,0.344,0.27,0.174,0.105
13229,0.215175342,0.358,0.377,0.119,0.146
13231,0.174067169,0.397,0.273,0.143,0.105
13233,0.232614562,0.423,0.327,0.171,0.136
13235,0.24771124,0.451,0.354,0.168,0.179
13237,0.205134213,0.361,0.279,0.153,0.126
13239,0.277572557,0.289,0.266,0.115,0.18
13241,0.205894707,0.38,0.231,0.125,0.145
13243,0.312331133,0.379,0.235,0.242,0.214
13245,0.245312176,0.364,0.286,0.136,0.173
13247,0.206478331,0.448,0.329,0.157,0.119
13249,0.218676921,0.276,0.225,0.201,0.156
13251,0.240289731,0.318,0.363,0.144,0.162
13253,0.230310348,0.437,0.231,0.1,0.172
13255,0.233466706,0.416,0.359,0.136,0.159
13257,0.202178281,0.389,0.301,0.156,0.144
13259,0.343030152,0.323,0.369,0.128,0.202
13261,0.255205173,0.363,0.295,0.24,0.182
13263,0.25966468,0.197,0.299,0.255,0.155
13265,0.291956442,0.125,0.273,0.13,0.193
13267,0.261582407,0.355,0.37,0.205,0.157
13269,0.27175239,0.458,0.385,0.143,0.182
