FIPS,Poor or fair health,Adult obesity,Physical inactivity,Diabetes prevalence,Food insecurity
16007,0.174519469,0.295,0.26,0.111,0.116
16009,0.203564843,0.301,0.276,0.129,0.143
16011,0.191789784,0.34,0.232,0.105,0.1
16013,0.16102874,0.165,0.142,0.059,0.094
16015,0.152927194,0.3,0.248,0.142,0.112
16017,0.16978941,0.25,0.194,0.1,0.126
16019,0.169985164,0.292,0.199,0.099,0.101
16021,0.176816979,0.272,0.274,0.091,0.129
16023,0.169320206,0.26,0.284,0.103,0.12
16025,0.204562792,0.3,0.257,0.08,0.141
16027,0.202046641,0.345,0.239,0.104,0.109
16029,0.159476351,0.279,0.198,0.14,0.09
16031,0.201602739,0.34,0.261,0.118,0.098
16033,0.286303318,0.266,0.245,0.059,0.092
16035,0.1851244,0.342,0.241,0.141,0.146
16037,0.184840122,0.238,0.218,0.089,0.156
16039,0.194422312,0.364,0.232,0.098,0.119
16041,0.169810535,0.294,0.244,0.076,0.095
16043,0.185001735,0.285,0.256,0.092,0.096
16045,0.200019455,0.378,0.3,0.128,0.139
16047,0.212632185,0.31,0.277,0.086,0.105
16049,0.195180001,0.301,0.237,0.1,0.141
16051,0.174249429,0.355,0.205,0.097,0.076
16053,0.232292364,0.32,0.264,0.089,0.106
16055,0.158690822,0.261,0.192,0.091,0.109
16057,0.145265631,0.256,0.15,0.067,0.117
16059,0.182498499,0.251,0.235,0.118,0.127
16061,0.203316066,0.306,0.239,0.109,0.15
16063,0.230112974,0.303,0.293,0.102,0.104
16065,0.196649312,0.268,0.159,0.07,0.114
16067,0.227549121,0.308,0.271,0.134,0.113
16069,0.169846198,0.302,0.215,0.105,0.12
16071,0.175334556,0.323,0.254,0.116,0.108
16073,0.244046727,0.402,0.266,0.155,0.134
16075,0.201072234,0.379,0.284,0.109,0.117
16077,0.2199074,0.389,0.253,0.112,0.096
16079,0.214586428,0.352,0.227,0.106,0.165
16081,0.140383774,0.189,0.173,0.051,0.064
16083,0.183660881,0.314,0.26,0.103,0.11
16085,0.137740057,0.294,0.193,0.063,0.116
16087,0.221355771,0.362,0.289,0.106,0.134
17001,0.168499004,0.379,0.29,0.134,0.102
17003,0.260068789,0.179,0.185,0.053,0.195
17005,0.178061928,0.275,0.224,0.073,0.103
17007,0.180175511,0.335,0.263,0.093,0.087
17009,0.188986668,0.214,0.207,0.081,0.086
17011,0.171957432,0.32,0.344,0.141,0.101
17013,0.17403804,0.295,0.214,0.104,0.113
17015,0.162537824,0.292,0.253,0.1,0.099
17017,0.207536944,0.329,0.235,0.069,0.097
17019,0.160562575,0.304,0.219,0.094,0.11
17021,0.180173159,0.36,0.315,0.107,0.106
17023,0.17342632,0.308,0.346,0.112,0.114
17025,0.180243476,0.284,0.351,0.145,0.129
17027,0.155874284,0.31,0.211,0.069,0.087
17029,0.186836349,0.327,0.246,0.127,0.132
17031,0.183798645,0.277,0.205,0.095,0.101
17033,0.174124011,0.282,0.315,0.105,0.108
17035,0.177460604,0.254,0.253,0.109,0.108
17037,0.16370261,0.328,0.196,0.067,0.102
17039,0.165909907,0.283,0.259,0.185,0.096
17041,0.189494812,0.264,0.224,0.109,0.092
17043,0.12037116,0.263,0.163,0.073,0.059
17045,0.169370932,0.311,0.309,0.111,0.108
17047,0.162592837,0.304,0.253,0.083,0.099
17049,0.156517033,0.288,0.214,0.129,0.092
17051,0.209930367,0.302,0.256,0.104,0.131
17053,0.181625994,0.292,0.29,0.064,0.123
17055,0.200912163,0.332,0.298,0.148,0.148
17057,0.190829259,0.253,0.255,0.076,0.125
17059,0.206249263,0.262,0.231,0.092,0.149
17061,0.184573254,0.253,0.23,0.084,0.117
17063,0.146348548,0.316,0.227,0.096,0.08
17065,0.165238165,0.289,0.273,0.086,0.102
17067,0.165191871,0.304,0.259,0.087,0.1
17069,0.207035219,0.294,0.268,0.106,0.154
17071,0.166795648,0.345,0.284,0.131,0.096
17073,0.163886246,0.326,0.261,0.114,0.097
17075,0.18277072,0.304,0.257,0.085,0.107
17077,0.191740315,0.245,0.198,0.084,0.147
17079,0.1681762,0.237,0.2,0.094,0.119
17081,0.191540742,0.375,0.248,0.085,0.138
17083,0.156243166,0.315,0.326,0.147,0.091
17085,0.155021567,0.26,0.227,0.107,0.09
17087,0.191340797,0.234,0.224,0.093,0.119
17089,0.163414919,0.283,0.143,0.101,0.071
17091,0.191845451,0.38,0.33,0.132,0.116
17093,0.135522673,0.346,0.2,0.085,0.048
17095,0.196786247,0.354,0.28,0.131,0.131
17097,0.144406308,0.251,0.196,0.085,0.069
17099,0.177264928,0.32,0.271,0.132,0.11
17101,0.202103733,0.295,0.264,0.182,0.136
17103,0.169800073,0.345,0.26,0.077,0.1
17105,0.181438597,0.299,0.261,0.115,0.112
17107,0.167295106,0.351,0.258,0.136,0.098
17109,0.171293047,0.363,0.235,0.117,0.123
17111,0.140028861,0.332,0.195,0.089,0.062
17113,0.142760072,0.314,0.213,0.102,0.092
17115,0.182185013,0.36,0.276,0.179,0.126
17117,0.169553535,0.238,0.218,0.134,0.109
17119,0.162636143,0.359,0.27,0.118,0.107
17121,0.196011656,0.241,0.327,0.154,0.132
17123,0.166833877,0.249,0.243,0.123,0.096
17125,0.186448798,0.275,0.241,0.094,0.128
17127,0.198278033,0.347,0.304,0.162,0.148
17129,0.149677338,0.272,0.21,0.116,0.09
17131,0.161163358,0.338,0.223,0.09,0.098
17133,0.128390667,0.324,0.192,0.101,0.059
17135,0.187163519,0.308,0.265,0.122,0.121
17137,0.178584786,0.379,0.292,0.175,0.118
17139,0.173598989,0.244,0.225,0.076,0.083
17141,0.168584627,0.366,0.306,0.096,0.091
17143,0.171486414,0.386,0.223,0.125,0.12
17145,0.201075099,0.283,0.229,0.098,0.133
17147,0.136371211,0.25,0.235,0.083,0.076
17149,0.193174772,0.292,0.248,0.155,0.113
17151,0.17773866,0.255,0.212,0.128,0.135
17153,0.239343081,0.185,0.183,0.084,0.167
17155,0.156785845,0.262,0.186,0.084,0.085
17157,0.201845851,0.379,0.228,0.151,0.107
17159,0.179883389,0.221,0.2,0.113,0.122
17161,0.179594204,0.346,0.225,0.119,0.112
17163,0.190468156,0.368,0.317,0.102,0.122
17165,0.206747528,0.272,0.346,0.091,0.163
17167,0.16027715,0.344,0.218,0.106,0.114
17169,0.184489641,0.248,0.221,0.111,0.146
17171,0.172840215,0.255,0.274,0.137,0.103
17173,0.172638707,0.305,0.268,0.094,0.095
17175,0.183889947,0.229,0.232,0.072,0.117
17177,0.17389329,0.381,0.235,0.117,0.116
17179,0.148219383,0.304,0.258,0.099,0.087
17181,0.190383759,0.314,0.249,0.121,0.137
17183,0.210748884,0.432,0.29,0.124,0.138
17185,0.169240249,0.282,0.207,0.107,0.109
17187,0.180267907,0.379,0.3,0.183,0.097
17189,0.151847161,0.305,0.273,0.081,0.077
17191,0.180665001,0.286,0.245,0.199,0.124
17193,0.180574978,0.291,0.199,0.088,0.116
17195,0.174127752,0.357,0.256,0.149,0.094
17197,0.145877017,0.342,0.213,0.1,0.061
17199,0.173893111,0.292,0.272,0.133,0.125
17201,0.194804554,0.296,0.248,0.111,0.12
17203,0.134290834,0.307,0.208,0.111,0.073
18001,0.209801042,0.361,0.305,0.084,0.122
18003,0.189266796,0.342,0.231,0.113,0.126
18005,0.17420508,0.318,0.254,0.116,0.116
18007,0.208966625,0.362,0.294,0.155,0.14
18009,0.19901605,0.292,0.276,0.144,0.138
18011,0.130496188,0.268,0.214,0.095,0.085
18013,0.165016124,0.317,0.234,0.082,0.106
18015,0.184437053,0.405,0.309,0.098,0.116
18017,0.218877058,0.352,0.303,0.17,0.129
18019,0.190380283,0.377,0.279,0.109,0.117
18021,0.190004341,0.34,0.338,0.188,0.137
18023,0.208920731,0.37,0.337,0.165,0.116
18025,0.227568742,0.321,0.363,0.133,0.149
18027,0.223811904,0.302,0.285,0.075,0.12
18029,0.174605282,0.317,0.251,0.106,0.11
18031,0.18104606,0.342,0.311,0.119,0.125
18033,0.182605627,0.312,0.205,0.078,0.113
18035,0.213127681,0.337,0.281,0.127,0.151
18037,0.173998306,0.317,0.228,0.104,0.104
18039,0.207013988,0.339,0.28,0.116,0.116
18041,0.223198096,0.388,0.278,0.156,0.159
18043,0.168215168,0.318,0.268,0.138,0.112
18045,0.191023925,0.342,0.323,0.18,0.131
18047,0.180978962,0.356,0.296,0.126,0.107
18049,0.194311831,0.354,0.303,0.09,0.131
18051,0.178503647,0.344,0.253,0.088,0.114
18053,0.213499619,0.369,0.317,0.162,0.159
18055,0.199410432,0.4,0.387,0.156,0.14
18057,0.119553147,0.257,0.174,0.084,0.077
18059,0.14890188,0.384,0.239,0.116,0.099
18061,0.181827082,0.386,0.291,0.129,0.122
18063,0.143669184,0.316,0.213,0.119,0.088
18065,0.196337154,0.306,0.282,0.124,0.141
18067,0.202011564,0.352,0.341,0.148,0.147
18069,0.181537988,0.391,0.266,0.154,0.117
18071,0.210974965,0.358,0.303,0.128,0.132
18073,0.178344084,0.357,0.271,0.101,0.114
18075,0.221540441,0.335,0.267,0.185,0.142
18077,0.194236416,0.327,0.248,0.122,0.134
18079,0.209880734,0.424,0.349,0.171,0.137
18081,0.158011313,0.327,0.249,0.1,0.101
18083,0.206426151,0.35,0.331,0.172,0.15
18085,0.190336058,0.347,0.293,0.123,0.109
18087,0.231060253,0.349,0.258,0.102,0.09
18089,0.226123181,0.379,0.267,0.136,0.139
18091,0.215322012,0.374,0.295,0.152,0.139
18093,0.197719432,0.326,0.299,0.138,0.132
18095,0.214146457,0.401,0.319,0.193,0.15
18097,0.215118371,0.33,0.265,0.12,0.153
18099,0.199576557,0.426,0.332,0.128,0.116
18101,0.199538425,0.458,0.39,0.099,0.129
18103,0.219346597,0.384,0.366,0.1,0.147
18105,0.173043355,0.252,0.208,0.073,0.141
18107,0.185557327,0.286,0.292,0.133,0.117
18109,0.185304156,0.38,0.281,0.152,0.12
18111,0.213801924,0.325,0.339,0.171,0.131
18113,0.190818778,0.371,0.269,0.11,0.101
18115,0.171266635,0.284,0.269,0.091,0.1
18117,0.227290623,0.343,0.266,0.128,0.154
18119,0.213221976,0.322,0.252,0.172,0.146
18121,0.207381124,0.352,0.347,0.098,0.14
18123,0.199541628,0.385,0.283,0.102,0.128
18125,0.195978176,0.422,0.307,0.144,0.124
18127,0.166090551,0.334,0.233,0.112,0.106
18129,0.166598012,0.339,0.328,0.125,0.106
18131,0.20233625,0.346,0.236,0.102,0.133
18133,0.186413685,0.307,0.286,0.161,0.127
18135,0.206584857,0.334,0.281,0.132,0.14
18137,0.181797039,0.313,0.348,0.131,0.119
18139,0.206514132,0.299,0.245,0.082,0.137
18141,0.188004666,0.345,0.26,0.109,0.134
18143,0.223204343,0.34,0.278,0.118,0.145
18145,0.189088508,0.369,0.293,0.168,0.116
18147,0.17780552,0.36,0.277,0.105,0.11
18149,0.220960809,0.33,0.281,0.166,0.134
18151,0.179578932,0.298,0.273,0.096,0.115
18153,0.208619291,0.366,0.284,0.146,0.143
18155,0.230166627,0.411,0.377,0.213,0.156
18157,0.174071609,0.298,0.236,0.086,0.131
18159,0.175101462,0.374,0.212,0.163,0.111
18161,0.193289348,0.281,0.227,0.075,0.117
18163,0.193893097,0.341,0.287,0.109,0.145
18165,0.192080171,0.362,0.288,0.153,0.154
18167,0.201310625,0.343,0.3,0.111,0.159
18169,0.19303574,0.342,0.256,0.121,0.125
18171,0.173444116,0.377,0.308,0.162,0.115
18173,0.151658828,0.355,0.293,0.142,0.098
18175,0.204074134,0.382,0.346,0.124,0.135
18177,0.21012693,0.355,0.331,0.173,0.15
18179,0.176332247,0.32,0.299,0.123,0.106
18181,0.187895101,0.302,0.334,0.152,0.111
18183,0.164155687,0.311,0.3,0.133,0.106
19001,0.139549617,0.287,0.245,0.151,0.093
19003,0.137966703,0.367,0.254,0.099,0.091
19005,0.15613252,0.406,0.239,0.091,0.084
19007,0.161253165,0.446,0.339,0.152,0.125
19009,0.143517034,0.318,0.207,0.098,0.087
19011,0.12983423,0.365,0.242,0.114,0.079
19013,0.14705694,0.31,0.221,0.096,0.102
19015,0.134193036,0.391,0.225,0.081,0.082
19017,0.113078561,0.352,0.206,0.09,0.066
19019,0.131186373,0.385,0.284,0.101,0.081
19021,0.177665884,0.356,0.266,0.095,0.083
19023,0.133136352,0.332,0.261,0.116,0.082
19025,0.144113103,0.352,0.33,0.09,0.094
19027,0.126440371,0.373,0.235,0.097,0.078
19029,0.152906142,0.326,0.247,0.126,0.098
19031,0.124415002,0.41,0.254,0.083,0.069
19033,0.137101781,0.34,0.196,0.101,0.097
19035,0.14007557,0.351,0.242,0.11,0.09
19037,0.1361595,0.313,0.231,0.109,0.08
19039,0.161512632,0.401,0.268,0.091,0.102
19041,0.138695403,0.295,0.245,0.098,0.106
19043,0.146056489,0.411,0.292,0.085,0.091
19045,0.147428246,0.347,0.287,0.126,0.1
19047,0.193418041,0.367,0.299,0.082,0.103
19049,0.101176135,0.296,0.177,0.067,0.056
19051,0.158962426,0.312,0.274,0.121,0.089
19053,0.174899539,0.345,0.289,0.146,0.123
19055,0.142495172,0.348,0.24,0.1,0.074
19057,0.161484267,0.36,0.262,0.142,0.115
19059,0.120013288,0.26,0.224,0.122,0.086
19061,0.129966892,0.373,0.238,0.081,0.088
19063,0.152770607,0.361,0.294,0.094,0.094
19065,0.146207684,0.385,0.276,0.132,0.099
19067,0.156829,0.43,0.283,0.097,0.114
19069,0.162678576,0.481,0.281,0.158,0.083
19071,0.143657943,0.361,0.236,0.098,0.084
19073,0.141074985,0.402,0.303,0.161,0.092
19075,0.116190922,0.337,0.236,0.091,0.067
19077,0.138598743,0.376,0.308,0.09,0.092
19079,0.131382673,0.359,0.256,0.087,0.086
19081,0.128707582,0.342,0.202,0.06,0.079
19083,0.136302519,0.41,0.239,0.1,0.079
19085,0.145340411,0.367,0.264,0.153,0.088
19087,0.146885149,0.357,0.269,0.09,0.094
19089,0.145937313,0.339,0.212,0.112,0.089
19091,0.146545644,0.323,0.239,0.089,0.095
19093,0.135693375,0.318,0.288,0.087,0.09
19095,0.131483297,0.365,0.206,0.11,0.077
19097,0.142126358,0.344,0.281,0.107,0.093
19099,0.140072184,0.379,0.25,0.144,0.093
19101,0.140691959,0.303,0.134,0.089,0.105
19103,0.127545163,0.27,0.166,0.064,0.082
19105,0.143850227,0.35,0.266,0.089,0.089
19107,0.145658806,0.383,0.251,0.087,0.096
19109,0.13250587,0.397,0.3,0.134,0.09
19111,0.15530818,0.385,0.255,0.131,0.119
19113,0.130915734,0.334,0.213,0.096,0.081
19115,0.168951885,0.377,0.312,0.13,0.083
19117,0.150151338,0.37,0.264,0.15,0.101
19119,0.127009867,0.35,0.233,0.137,0.057
19121,0.123212928,0.381,0.263,0.096,0.08
19123,0.150504455,0.3,0.254,0.086,0.102
19125,0.126893984,0.35,0.238,0.1,0.09
19127,0.163022727,0.362,0.278,0.121,0.092
19129,0.129160997,0.312,0.228,0.065,0.084
19131,0.149321594,0.382,0.205,0.087,0.079
19133,0.159095525,0.334,0.277,0.101,0.115
19135,0.162918992,0.322,0.204,0.133,0.094
19137,0.160831587,0.322,0.218,0.118,0.113
19139,0.152758161,0.401,0.277,0.087,0.078
19141,0.141112889,0.27,0.257,0.082,0.086
19143,0.148916231,0.368,0.234,0.106,0.087
19145,0.145248696,0.427,0.24,0.14,0.101
19147,0.128886586,0.332,0.297,0.111,0.081
19149,0.131290392,0.331,0.302,0.104,0.075
19151,0.148828866,0.374,0.278,0.085,0.094
19153,0.137403441,0.335,0.183,0.089,0.088
19155,0.1548973,0.419,0.266,0.112,0.094
19157,0.135784835,0.339,0.227,0.083,0.081
19159,0.148335484,0.321,0.241,0.097,0.093
19161,0.140055344,0.369,0.303,0.101,0.081
19163,0.134583175,0.341,0.221,0.115,0.092
19165,0.13953655,0.337,0.246,0.105,0.082
19167,0.122786902,0.284,0.205,0.088,0.059
19169,0.128415468,0.289,0.165,0.079,0.082
19171,0.154181428,0.334,0.271,0.1,0.089
19173,0.160291551,0.341,0.216,0.12,0.089
19175,0.165504832,0.369,0.28,0.195,0.117
19177,0.154989653,0.325,0.186,0.093,0.098
19179,0.171640291,0.317,0.219,0.149,0.11
19181,0.115299577,0.369,0.161,0.101,0.071
19183,0.138707833,0.325,0.229,0.109,0.081
19185,0.176517473,0.486,0.278,0.203,0.108
19187,0.163966263,0.375,0.256,0.104,0.112
19189,0.134137974,0.401,0.233,0.107,0.09
19191,0.114107239,0.313,0.247,0.064,0.076
19193,0.16872445,0.348,0.269,0.1,0.095
19195,0.135566736,0.324,0.255,0.156,0.09
19197,0.157153354,0.384,0.302,0.099,0.096
20001,0.187039163,0.391,0.33,0.168,0.152
20003,0.175665892,0.349,0.242,0.118,0.131
20005,0.177775672,0.373,0.296,0.115,0.149
20007,0.181991864,0.304,0.28,0.104,0.136
20009,0.188924648,0.374,0.282,0.138,0.136
20011,0.190461773,0.372,0.272,0.142,0.159
20013,0.182099998,0.401,0.344,0.133,0.133
20015,0.155881466,0.367,0.267,0.101,0.113
20017,0.169586106,0.421,0.216,0.113,0.123
20019,0.206106833,0.349,0.306,0.098,0.159
20021,0.194835371,0.403,0.319,0.152,0.15
20023,0.162581897,0.346,0.251,0.127,0.11
20025,0.163224113,0.363,0.261,0.114,0.115
20027,0.146412021,0.318,0.285,0.133,0.111
20029,0.185807032,0.382,0.267,0.1,0.126
20031,0.156605397,0.418,0.27,0.141,0.133
20033,0.144558198,0.283,0.243,0.105,0.094
20035,0.182594132,0.391,0.303,0.128,0.142
20037,0.190003746,0.313,0.263,0.108,0.157
20039,0.175906388,0.359,0.354,0.116,0.15
20041,0.173770089,0.401,0.299,0.11,0.137
20043,0.172027866,0.358,0.278,0.107,0.138
20045,0.14836833,0.28,0.163,0.07,0.128
20047,0.191452787,0.351,0.237,0.122,0.1
20049,0.198566861,0.334,0.301,0.225,0.154
20051,0.155801682,0.306,0.256,0.072,0.118
20053,0.17860548,0.401,0.311,0.124,0.125
20055,0.237283476,0.382,0.28,0.084,0.106
20057,0.25059962,0.319,0.279,0.11,0.099
20059,0.164185436,0.336,0.247,0.088,0.12
20061,0.183713821,0.385,0.223,0.11,0.147
20063,0.158935158,0.323,0.277,0.139,0.119
20065,0.166857965,0.314,0.301,0.15,0.124
20067,0.211006065,0.359,0.259,0.098,0.08
20069,0.172500075,0.321,0.303,0.105,0.086
20071,0.16868269,0.342,0.277,0.138,0.117
20073,0.173007699,0.347,0.313,0.114,0.142
20075,0.220024223,0.392,0.251,0.207,0.101
20077,0.181071616,0.328,0.288,0.143,0.137
20079,0.150605364,0.302,0.24,0.101,0.12
20081,0.22910606,0.333,0.271,0.09,0.091
20083,0.150161897,0.387,0.256,0.154,0.112
20085,0.163017531,0.383,0.255,0.147,0.122
20087,0.150768414,0.357,0.2,0.11,0.107
20089,0.187540556,0.302,0.251,0.121,0.138
20091,0.105753108,0.262,0.167,0.078,0.09
20093,0.237694548,0.38,0.223,0.109,0.125
20095,0.140836883,0.312,0.325,0.14,0.107
20097,0.162763493,0.35,0.257,0.117,0.111
20099,0.19707863,0.38,0.319,0.137,0.157
20101,0.165958881,0.345,0.283,0.127,0.128
20103,0.156585017,0.354,0.247,0.115,0.119
20105,0.154765615,0.312,0.22,0.072,0.114
20107,0.194416658,0.395,0.31,0.146,0.161
20109,0.158162716,0.325,0.297,0.154,0.107
20111,0.188486018,0.384,0.225,0.08,0.125
20113,0.145586052,0.301,0.232,0.11,0.111
20115,0.158167975,0.404,0.27,0.102,0.116
20117,0.166645225,0.377,0.259,0.118,0.114
20119,0.191262819,0.36,0.325,0.154,0.104
20121,0.142236049,0.327,0.278,0.105,0.108
20123,0.158582517,0.296,0.25,0.114,0.13
20125,0.195442415,0.394,0.314,0.132,0.157
20127,0.167818737,0.338,0.256,0.137,0.118
20129,0.183171648,0.34,0.315,0.131,0.11
20131,0.152140232,0.338,0.288,0.085,0.111
20133,0.187436331,0.375,0.307,0.158,0.159
20135,0.17613927,0.341,0.24,0.109,0.104
20137,0.175330014,0.299,0.284,0.09,0.118
20139,0.176584464,0.424,0.301,0.148,0.134
20141,0.159435477,0.337,0.305,0.127,0.132
20143,0.157659183,0.347,0.326,0.121,0.112
20145,0.184191335,0.405,0.302,0.129,0.123
20147,0.167667896,0.361,0.319,0.114,0.114
20149,0.14059355,0.355,0.259,0.108,0.101
20151,0.15595638,0.318,0.257,0.099,0.113
20153,0.155367299,0.212,0.219,0.09,0.119
20155,0.185007243,0.345,0.262,0.114,0.131
20157,0.148952468,0.35,0.307,0.071,0.118
20159,0.178659053,0.385,0.266,0.126,0.133
20161,0.160963695,0.259,0.158,0.053,0.129
20163,0.160686833,0.348,0.254,0.126,0.113
20165,0.169285945,0.333,0.34,0.077,0.12
20167,0.153055132,0.333,0.288,0.132,0.112
20169,0.159274114,0.348,0.289,0.107,0.125
20171,0.163918041,0.365,0.288,0.109,0.067
20173,0.17701504,0.328,0.247,0.114,0.13
20175,0.278343079,0.371,0.214,0.066,0.101
20177,0.162399444,0.366,0.23,0.117,0.126
20179,0.161877078,0.239,0.264,0.075,0.1
20181,0.17521937,0.398,0.31,0.164,0.148
20183,0.171547063,0.367,0.29,0.071,0.129
20185,0.1834105,0.338,0.221,0.107,0.121
20187,0.199457395,0.344,0.278,0.076,0.114
20189,0.225310007,0.396,0.268,0.144,0.116
20191,0.16879558,0.419,0.314,0.144,0.126
20193,0.158480882,0.34,0.242,0.083,0.113
20195,0.147360409,0.339,0.303,0.116,0.103
20197,0.139927532,0.34,0.243,0.103,0.101
20199,0.147862394,0.256,0.241,0.117,0.124
20201,0.166795156,0.324,0.282,0.099,0.121
20203,0.172409531,0.358,0.261,0.096,0.099
20205,0.189013348,0.411,0.345,0.19,0.156
20207,0.21127431,0.358,0.222,0.148,0.177
20209,0.259368114,0.396,0.329,0.137,0.156
21001,0.274092733,0.401,0.342,0.139,0.161
21003,0.261342756,0.365,0.397,0.129,0.151
21005,0.207421327,0.41,0.312,0.155,0.124
21007,0.230252964,0.382,0.362,0.166,0.149
21009,0.272972818,0.364,0.381,0.152,0.172
21011,0.276075991,0.462,0.397,0.144,0.179
21013,0.352273425,0.386,0.348,0.17,0.247
21015,0.165686649,0.368,0.231,0.121,0.088
21017,0.23465472,0.329,0.287,0.112,0.139
21019,0.235983059,0.397,0.348,0.155,0.166
21021,0.229866286,0.244,0.248,0.167,0.136
21023,0.237820309,0.351,0.303,0.095,0.138
21025,0.321932228,0.4,0.363,0.173,0.246
21027,0.239206098,0.301,0.243,0.123,0.153
21029,0.205308676,0.364,0.272,0.162,0.111
21031,0.270149284,0.353,0.311,0.125,0.16
21033,0.235181299,0.355,0.297,0.158,0.15
21035,0.224346106,0.34,0.291,0.091,0.148
21037,0.18460305,0.35,0.25,0.11,0.113
21039,0.267883173,0.284,0.306,0.094,0.14
21041,0.275468356,0.263,0.279,0.13,0.162
21043,0.294275893,0.419,0.387,0.164,0.195
21045,0.308765517,0.289,0.323,0.14,0.18
21047,0.259724648,0.365,0.304,0.124,0.168
21049,0.227941144,0.392,0.247,0.112,0.141
21051,0.357387875,0.375,0.343,0.123,0.244
21053,0.310218091,0.375,0.355,0.119,0.169
21055,0.247281394,0.378,0.279,0.116,0.146
21057,0.267136051,0.341,0.224,0.128,0.153
21059,0.211507539,0.295,0.277,0.134,0.134
21061,0.264242591,0.395,0.251,0.147,0.167
21063,0.305627817,0.395,0.28,0.107,0.22
21065,0.306975241,0.349,0.344,0.154,0.213
21067,0.19188006,0.283,0.224,0.106,0.127
21069,0.254003447,0.392,0.273,0.12,0.164
21071,0.31357954,0.407,0.395,0.179,0.221
21073,0.193387295,0.386,0.238,0.107,0.125
21075,0.309934382,0.352,0.296,0.107,0.205
21077,0.256562543,0.301,0.297,0.139,0.127
21079,0.235491825,0.312,0.267,0.087,0.138
21081,0.244619421,0.348,0.337,0.137,0.145
21083,0.247806511,0.344,0.357,0.119,0.145
21085,0.276582565,0.435,0.349,0.121,0.175
21087,0.271774129,0.359,0.273,0.131,0.163
21089,0.22410696,0.405,0.331,0.15,0.151
21091,0.221936057,0.345,0.236,0.13,0.122
21093,0.2154767,0.4,0.312,0.121,0.134
21095,0.345614041,0.402,0.349,0.201,0.248
21097,0.239042728,0.325,0.353,0.112,0.14
21099,0.285682549,0.303,0.316,0.108,0.162
21101,0.233575246,0.372,0.312,0.194,0.158
21103,0.24814983,0.336,0.218,0.123,0.149
21105,0.279047795,0.277,0.39,0.159,0.156
21107,0.237526264,0.389,0.365,0.182,0.147
21109,0.30244352,0.424,0.395,0.197,0.216
21111,0.20761609,0.319,0.251,0.124,0.131
21113,0.211874806,0.348,0.273,0.08,0.137
21115,0.27792609,0.429,0.371,0.184,0.192
21117,0.195192822,0.352,0.249,0.118,0.118
21119,0.321940315,0.432,0.408,0.21,0.231
21121,0.326783023,0.369,0.353,0.13,0.2
21123,0.251470155,0.391,0.317,0.098,0.142
21125,0.265525014,0.383,0.319,0.157,0.169
21127,0.295981699,0.448,0.332,0.176,0.196
21129,0.333720922,0.419,0.397,0.151,0.232
21131,0.317550039,0.407,0.304,0.156,0.237
21133,0.303702895,0.386,0.367,0.203,0.224
21135,0.30545478,0.432,0.381,0.139,0.203
21137,0.281195913,0.33,0.299,0.175,0.169
21139,0.238573005,0.399,0.334,0.162,0.154
21141,0.244620102,0.368,0.343,0.111,0.139
21143,0.227852963,0.322,0.381,0.095,0.146
21145,0.218166376,0.313,0.309,0.145,0.144
21147,0.353687977,0.377,0.331,0.171,0.233
21149,0.23158501,0.343,0.314,0.157,0.141
21151,0.210043395,0.364,0.232,0.084,0.142
21153,0.310509986,0.397,0.315,0.188,0.247
21155,0.276277357,0.37,0.411,0.119,0.166
21157,0.20426323,0.356,0.29,0.104,0.128
21159,0.294610947,0.407,0.357,0.178,0.21
21161,0.239195365,0.352,0.33,0.123,0.157
21163,0.204794342,0.344,0.256,0.133,0.126
21165,0.281607333,0.416,0.332,0.202,0.178
21167,0.229472808,0.282,0.31,0.087,0.142
21169,0.2908765,0.337,0.324,0.117,0.17
21171,0.2793148,0.352,0.33,0.17,0.172
21173,0.26615262,0.341,0.35,0.127,0.17
21175,0.300877727,0.357,0.324,0.102,0.192
21177,0.266440973,0.364,0.349,0.142,0.163
21179,0.21347619,0.388,0.286,0.108,0.121
21181,0.285275053,0.35,0.292,0.154,0.183
21183,0.258623509,0.313,0.406,0.141,0.161
21185,0.14759955,0.227,0.193,0.078,0.069
21187,0.250659826,0.324,0.279,0.108,0.148
21189,0.305155202,0.467,0.274,0.135,0.237
21191,0.240105339,0.333,0.299,0.113,0.141
21193,0.296108297,0.433,0.365,0.156,0.208
21195,0.303087083,0.397,0.375,0.177,0.196
21197,0.266651691,0.294,0.263,0.177,0.181
21199,0.25058434,0.391,0.338,0.145,0.171
21201,0.261230229,0.239,0.334,0.147,0.164
21203,0.268484888,0.365,0.326,0.122,0.169
21205,0.257118497,0.363,0.301,0.097,0.17
21207,0.278218873,0.347,0.378,0.149,0.172
21209,0.185770773,0.357,0.26,0.077,0.11
21211,0.213115817,0.34,0.207,0.118,0.115
21213,0.227369749,0.391,0.29,0.092,0.127
21215,0.183092607,0.356,0.258,0.144,0.094
21217,0.253618588,0.389,0.365,0.096,0.175
21219,0.256415506,0.395,0.345,0.11,0.138
21221,0.210212423,0.363,0.341,0.123,0.121
21223,0.247276308,0.383,0.349,0.106,0.152
21225,0.265685202,0.401,0.322,0.137,0.163
21227,0.216704585,0.276,0.242,0.078,0.135
21229,0.23667512,0.371,0.269,0.167,0.135
21231,0.297424856,0.416,0.368,0.171,0.187
21233,0.275750268,0.387,0.292,0.087,0.167
21235,0.273671181,0.356,0.353,0.136,0.183
21237,0.346031371,0.376,0.394,0.12,0.244
