Delta,Feature,Mu_star,Morris_sensitivity
0.0002,AGE6574,0.006773408918819289,0.0005866682465312286
0.0002,VaccinationFull,0.002483660382320022,0.0004603892658795535
0.0004,AGE6574,0.005793136412289203,0.0005017634726689965
0.0004,VaccinationFull,0.0025452122661042947,0.0004717989685871653
0.0006,AGE6574,0.005927795080531386,0.0005134267231422373
0.0006,VaccinationFull,0.0023361380521457744,0.0004330434589515064
0.0008,AGE6574,0.005368017321783649,0.0004649424458591581
0.0008,VaccinationFull,0.0021133788253258606,0.00039175119627599597
0.001,AGE6574,0.00564121781963048,0.0004886052807690572
0.001,VaccinationFull,0.0020021154955125455,0.0003711266201074067
0.002,AGE6574,0.004971872680769333,0.00043063099578991823
0.002,VaccinationFull,0.0014722944719359923,0.00027291516018787044
0.004,AGE6574,0.004744754794526586,0.00041095953439214134
0.004,VaccinationFull,0.00121261666243525,0.00022477940179984913
0.006,AGE6574,0.004464640177660177,0.00038669784384985097
0.006,VaccinationFull,0.0010142011891733779,0.00018799967349059947
0.008,AGE6574,0.0037422568534801665,0.0003241297391924458
0.008,VaccinationFull,0.0009511475455233754,0.00017631159370412762
0.01,AGE6574,0.003343000775521157,0.0002895487968662917
0.01,VaccinationFull,0.002890719568089819,0.0005358447029594925
