Delta,Feature,Mu_star,Morris_sensitivity
0.001,AGE019,0.4727334976196289,0.0668682366649074
0.001,VaccinationFull,0.7119381427764893,0.21726839060967715
0.002,AGE019,0.24591147899627686,0.034784222101754594
0.002,VaccinationFull,0.5433386564254761,0.16581541055969104
0.003,AGE019,0.16815455754597983,0.023785491840298326
0.003,VaccinationFull,0.47865835825602215,0.14607635818552545
0.004,AGE019,0.12938833236694336,0.01830200244737474
0.004,VaccinationFull,0.4470139145851135,0.13641914650516268
0.005,AGE019,0.1070408821105957,0.015140951664802369
0.005,VaccinationFull,0.4272486686706543,0.13038721351574387
0.006,AGE019,0.09186410903930664,0.012994194435516462
0.006,VaccinationFull,0.4115700324376424,0.12560242694985466
0.007,AGE019,0.08092250142778669,0.011446502107924382
0.007,VaccinationFull,0.40503086362566265,0.12360681160304512
0.008,AGE019,0.0726478099822998,0.010276045542667164
0.008,VaccinationFull,0.3928110599517822,0.11987758722487644
0.009,AGE019,0.06661478678385417,0.009422673346556922
0.009,VaccinationFull,0.38787182172139484,0.11837023668881876
0.01,AGE019,0.06136617660522461,0.008680256510530553
0.01,VaccinationFull,0.3857640504837036,0.11772698970278064
