Delta,Feature,Mu_star,Morris_sensitivity
0.001,AGE4049,0.3825552463531494,0.06578174080304468
0.001,VaccinationFull,0.7951419353485107,0.2426604198023312
0.002,AGE4049,0.21570433676242828,0.037091131036012526
0.002,VaccinationFull,0.6309247016906738,0.19254481013985958
0.003,AGE4049,0.15323368708292642,0.026349079726588717
0.003,VaccinationFull,0.5798909664154053,0.17697039873549833
0.004,AGE4049,0.1175004318356514,0.02020461887516082
0.004,VaccinationFull,0.5439003705978394,0.1659868337871867
0.005,AGE4049,0.09684520363807678,0.016652878622025462
0.005,VaccinationFull,0.5231263160705566,0.15964703384898138
0.006,AGE4049,0.08386969566345215,0.014421693687270561
0.006,VaccinationFull,0.5098929405212402,0.15560848887550877
0.007,AGE4049,0.07366183825901576,0.012666416151975177
0.007,VaccinationFull,0.5068631512778146,0.15468386158943812
0.008,AGE4049,0.06582874059677124,0.011319487035161975
0.008,VaccinationFull,0.49845173954963684,0.1521168774947114
0.009,AGE4049,0.06089769469367133,0.010471576082226841
0.009,VaccinationFull,0.49175018734402126,0.15007170618724017
0.01,AGE4049,0.055927181243896486,0.009616878543693282
0.01,VaccinationFull,0.48917398452758787,0.1492855038387781
