Delta,Feature,Mu_star,Morris_sensitivity
0.0001,AGE6574,0.005699448801136612,0.0004936488663879733
0.0001,VaccinationFull,0.0029852621942431834,0.0005533698084686498
0.0002,AGE6574,0.006798782051226346,0.0005888659008108772
0.0002,VaccinationFull,0.0020594216084740377,0.0003817492960032582
0.0003,AGE6574,0.0055956119370212,0.0004846551983950907
0.0003,VaccinationFull,0.0017589084226246035,0.0003260439966776276
0.0004,AGE6574,0.005730219382507818,0.0004963140122892691
0.0004,VaccinationFull,0.0024303124780140303,0.0004505003121906818
0.0005,AGE6574,0.006092374508893167,0.000527681513574844
0.0005,VaccinationFull,0.002127215759321196,0.0003943161105168817
0.0006,AGE6574,0.005980712554860394,0.0005180100876264344
0.0006,VaccinationFull,0.0023478613128842083,0.0004352165674181481
0.0007,AGE6574,0.00538403030394399,0.00046632938532764964
0.0007,VaccinationFull,0.002167794664524008,0.0004018381101064824
0.0008,AGE6574,0.0054299736270915,0.00047030869458740496
0.0008,VaccinationFull,0.002041288157391107,0.00037838794825565075
0.0009,AGE6574,0.005395438173186376,0.00046731746012503754
0.0009,VaccinationFull,0.002027570319611421,0.00037584511055134876
0.001,AGE6574,0.00560179583396728,0.0004851908069817814
0.001,VaccinationFull,0.0019400859297519708,0.00035962837081107485
