Delta,Feature,Mu_star,Morris_sensitivity
-0.001,AGE3039,-1.7730220786226694e-06,-1.5260070106376732e-07
-0.001,VaccinationFull,6.413613136379735e-05,1.1888737544442825e-05
-0.0008,AGE3039,2.922079520868992e-06,2.514979304685711e-07
-0.0008,VaccinationFull,6.79124396757039e-05,1.2588741387089575e-05
-0.0006,AGE3039,2.749351624201237e-06,2.3663156278901841e-07
-0.0006,VaccinationFull,5.895222967051716e-05,1.0927812004079021e-05
-0.0004,AGE3039,8.617336366718129e-06,7.41678057322907e-07
-0.0004,VaccinationFull,5.903482140041806e-05,1.0943121804954967e-05
-0.0002,AGE3039,-9.989628561764112e-06,-8.597886852464074e-07
-0.0002,VaccinationFull,4.832807426076437e-05,8.958441656786453e-06
0.0002,AGE3039,-3.0886130377941796e-05,-2.6583115944513296e-06
0.0002,VaccinationFull,0.00010040374826578224,1.8611565528319027e-05
0.0004,AGE3039,-4.274479390433838e-05,-3.6789646306578626e-06
0.0004,VaccinationFull,8.2883183409304e-05,1.5363826807884837e-05
0.0006,AGE3039,-3.0709034649404284e-05,-2.6430692956350526e-06
0.0006,VaccinationFull,8.023945390122606e-05,1.487376597023071e-05
0.0008,AGE3039,-2.8322610146017594e-05,-2.437674192752037e-06
0.0008,VaccinationFull,8.302434379382213e-05,1.5389993318516563e-05
0.001,AGE3039,-8.684520399080025e-06,-7.474604615931801e-07
0.001,VaccinationFull,9.072431518189597e-05,1.6817315749507498e-05
