Delta,Feature,Mu_star,Morris_sensitivity
-0.001,AGE517,-5.454770801305186e-05,-4.643949343837249e-06
-0.001,VaccinationFull,-4.0690404038178306e-05,-7.5426678207832e-06
-0.0008,AGE517,-5.564101603761506e-05,-4.737028728255517e-06
-0.0008,VaccinationFull,-3.4062536836318136e-05,-6.314078381931976e-06
-0.0006,AGE517,-5.433741676230417e-05,-4.626046081693022e-06
-0.0006,VaccinationFull,-4.8521053014282836e-05,-8.994213595371601e-06
-0.0004,AGE517,-3.624188640151578e-05,-3.085473078602536e-06
-0.0004,VaccinationFull,-3.735091862081013e-05,-6.923636631711591e-06
-0.0002,AGE517,-7.768943424053564e-05,-6.614133027882599e-06
-0.0002,VaccinationFull,1.2143366749179986e-05,2.250982357635719e-06
0.0002,AGE517,5.5172863876301765e-05,4.6971723346225035e-06
0.0002,VaccinationFull,-7.389656787508644e-05,-1.3698002704882693e-05
0.0004,AGE517,-4.536549302619398e-05,-3.862216383526833e-06
0.0004,VaccinationFull,-3.706621539802673e-05,-6.870861981576715e-06
0.0006,AGE517,-2.232041500571923e-05,-1.9002608981331162e-06
0.0006,VaccinationFull,-2.999906343275613e-05,-5.5608435393165445e-06
0.0008,AGE517,-3.8958479286693824e-05,-3.3167517190098815e-06
0.0008,VaccinationFull,-3.2093438814305726e-05,-5.949072119702052e-06
0.001,AGE517,-1.4443387596670346e-05,-1.2296458053983707e-06
0.001,VaccinationFull,-3.260483251112964e-05,-6.043867756952691e-06
