Delta,Feature,Mu_star,Prediction_change,Morris_sensitivity,Absolute_prediction_change,Absolute_mu_star,Absolute_morris_sensitivity
0.001,AGE1829,-0.00014525033085724043,-0.132904052734375,-1.4631516881741419e-05,26.86810302734375,0.029364047024419398,0.0029579316426915016
0.001,VaccinationFull,0.0005133456871157787,0.4697113037109375,0.00015770901197404019,24.501449584960938,0.026777540530011953,0.008226541229576053
0.1,AGE1829,-0.0001372442193370048,-12.557846069335938,-1.3825036406453794e-05,146.13035583496094,0.0015970530692345458,0.000160876115087881
0.1,VaccinationFull,0.0010960821766670937,100.29151916503906,0.0003367361243370802,135.86390686035156,0.0014848514410967385,0.00045617302254802284
