Delta,Feature,Mu_star,Morris_sensitivity
-0.001,AGE1829,-2.5125833708103196e-05,-1.975935889553608e-06
-0.001,VaccinationFull,-0.0004499149543696772,-8.339949254937981e-05
-0.0008,AGE1829,-3.419118933866378e-05,-2.6888500061592057e-06
-0.0008,VaccinationFull,-0.00045574315097130923,-8.447984925753837e-05
-0.0006,AGE1829,-2.742680753709241e-05,-2.156888164508651e-06
-0.0006,VaccinationFull,-0.00047230874895080833,-8.755056840534443e-05
-0.0004,AGE1829,-4.3184356620685976e-05,-3.3960871151740622e-06
-0.0004,VaccinationFull,-0.00046002322912804883,-8.527323552504721e-05
-0.0002,AGE1829,-5.1468148299496804e-05,-4.047537788210595e-06
-0.0002,VaccinationFull,-0.0004749802737526029,-8.804578157983181e-05
0.0002,AGE1829,-2.7917593009003546e-05,-2.195484321726231e-06
0.0002,VaccinationFull,-0.0005133449264428218,-9.515733129633327e-05
0.0004,AGE1829,-3.110055121518452e-05,-2.445797263681022e-06
0.0004,VaccinationFull,-0.0004939434143529753,-9.156092658191175e-05
0.0006,AGE1829,-3.266185257081123e-05,-2.5685805081628386e-06
0.0006,VaccinationFull,-0.0004852867686627369,-8.99562680776015e-05
0.0008,AGE1829,-3.2757547796321404e-05,-2.576106134286978e-06
0.0008,VaccinationFull,-0.0004713136774357522,-8.7366114746714e-05
0.001,AGE1829,-2.8808154219685022e-05,-2.2655194846773546e-06
0.001,VaccinationFull,-0.0004720755861440881,-8.750734765979464e-05
