Delta,Feature,Mu_star,Morris_sensitivity
0.001,AGE3039,0.40934085845947266,0.08227643459666503
0.001,VaccinationFull,0.8158547878265381,0.24898154217580895
0.002,AGE3039,0.22758996486663818,0.045744983605298155
0.002,VaccinationFull,0.678938627243042,0.20719763979572328
0.003,AGE3039,0.1538550853729248,0.030924466999677845
0.003,VaccinationFull,0.6456650892893473,0.19704326316281
0.004,AGE3039,0.11688393354415894,0.023493362841518196
0.004,VaccinationFull,0.611579179763794,0.1866409679912068
0.005,AGE3039,0.09469332695007324,0.019033109352604927
0.005,VaccinationFull,0.5820390224456787,0.17762593978407432
0.006,AGE3039,0.07944854100545247,0.01596894752318684
0.006,VaccinationFull,0.5682253837585449,0.1734103108330639
0.007,AGE3039,0.06863110406058175,0.013794671183786623
0.007,VaccinationFull,0.5634315695081439,0.17194734060505443
0.008,AGE3039,0.06127572059631348,0.012316258477054157
0.008,VaccinationFull,0.5582717657089233,0.1703726781449897
0.009,AGE3039,0.05528272522820367,0.0111116821899518
0.009,VaccinationFull,0.5524977048238119,0.16861055747689632
0.01,AGE3039,0.05058367252349853,0.010167184970739485
0.01,VaccinationFull,0.5461328506469727,0.16666813925208535
