Delta,Feature,Mu_star,Morris_sensitivity
2e-06,AGE3039,2.144208372427308e-05,1.8454801257375789e-06
2e-06,VaccinationFull,0.024447310880917308,0.004531730501205251
4e-06,AGE3039,1.8106648478275045e-05,1.5584054395117332e-06
4e-06,VaccinationFull,0.012532421446088187,0.002323100352338861
6e-06,AGE3039,1.2547589734944986e-05,1.0799476291353236e-06
6e-06,VaccinationFull,0.008472640845834245,0.0015705500344741323
8e-06,AGE3039,1.4890335919634084e-05,1.2815834206510964e-06
8e-06,VaccinationFull,0.006448111066638344,0.001195268540502467
1e-05,AGE3039,1.4390020632734376e-05,1.2385222177172193e-06
1e-05,VaccinationFull,0.005234012637095059,0.0009702144676260371
2e-05,AGE3039,0.005446527511340076,0.00046877245727207535
2e-05,VaccinationFull,0.008905516808664866,0.0016507910562189548
4e-05,AGE3039,0.002729577258099963,0.00023492962000639373
4e-05,VaccinationFull,0.004636064395637496,0.0008593744534766526
6e-05,AGE3039,0.005298608899692554,0.0004560413784491168
6e-05,VaccinationFull,0.00321493867698011,0.0005959443037699269
8e-05,AGE3039,0.005287921609258501,0.00045512154330866814
8e-05,VaccinationFull,0.0025047331857134883,0.0004642954732472773
0.0001,AGE3039,0.0042327864498588625,0.0003643080294879632
0.0001,VaccinationFull,0.002077599730564727,0.0003851189242922047
