Delta,Feature,Mu_star,Morris_sensitivity
-0.01,AGE1829,-6.696600992465196e-06,-5.266314500348259e-07
-0.01,VaccinationFull,-0.00017036240599129353,-3.157960870420645e-05
-0.009,AGE1829,-6.949035202828985e-06,-5.464832814925845e-07
-0.009,VaccinationFull,-0.00014243388546110312,-2.640257598446496e-05
-0.008,AGE1829,-1.1089726579506679e-05,-8.72113897128791e-07
-0.008,VaccinationFull,-0.00010805071005798219,-2.002906171692083e-05
-0.007,AGE1829,-6.869022573651176e-06,-5.401909599144557e-07
-0.007,VaccinationFull,-5.593946942202483e-05,-1.0369344957236317e-05
-0.006,AGE1829,-4.059224694379608e-06,-3.1922394498695616e-07
-0.006,VaccinationFull,-0.00046170174720803494,-8.558437778592609e-05
-0.005,AGE1829,-6.094602579637494e-06,-4.792893286477475e-07
-0.005,VaccinationFull,-0.0004639822001687488,-8.600709905326587e-05
-0.004,AGE1829,5.934454504077643e-06,4.6669502694942825e-07
-0.004,VaccinationFull,-0.00046457383490777646,-8.611676875090599e-05
-0.003,AGE1829,7.849232735762895e-06,6.172762602918544e-07
-0.003,VaccinationFull,-0.00046665169194334583,-8.65019353711163e-05
-0.002,AGE1829,5.6202093201526835e-06,4.419822813247348e-07
-0.002,VaccinationFull,-0.00046598674910251867,-8.637867675310254e-05
-0.001,AGE1829,-1.7549135688524044e-06,-1.3800921967583338e-07
-0.001,VaccinationFull,-0.0004724158005391799,-8.757041226263363e-05
0.001,AGE1829,1.647990905972686e-05,1.2960064985701216e-06
0.001,VaccinationFull,-0.00046358261502627826,-8.593302905895105e-05
0.002,AGE1829,3.2463314758549443e-06,2.55296717595508e-07
0.002,VaccinationFull,-0.0004672394432827657,-8.6610885213696e-05
0.003,AGE1829,4.161034884507453e-06,3.2723046174309494e-07
0.003,VaccinationFull,-0.00046806655180864825,-8.67642040368912e-05
0.004,AGE1829,3.466827104829888e-06,2.726368477516977e-07
0.004,VaccinationFull,-0.0004712541160920737,-8.735507402492849e-05
0.005,AGE1829,5.671764688594829e-06,4.460366782449509e-07
0.005,VaccinationFull,-0.0004653461072899123,-8.625992274957728e-05
0.006,AGE1829,2.2499099036754837e-06,1.769365259112074e-07
0.006,VaccinationFull,-0.0004691940877520454,-8.697321226077263e-05
0.007,AGE1829,4.53979965023157e-06,3.5701713083385155e-07
0.007,VaccinationFull,-0.0004608033125549701,-8.54178374355184e-05
0.008,AGE1829,3.350802072667097e-06,2.6351245300323076e-07
0.008,VaccinationFull,-0.00045468575843698425,-8.428384332367971e-05
0.009,AGE1829,1.172855508009436e-06,9.223523957292902e-08
0.009,VaccinationFull,-0.0003901522668777991,-7.232144821721809e-05
0.01,AGE1829,5.354850691150072e-06,4.2111405284163774e-07
0.01,VaccinationFull,-0.0003989078108702522,-7.394443922667979e-05
