Delta,Feature,Mu_star,Morris_sensitivity
-0.01,AGE6574,-4.0800044559621755e-05,-3.533832208725075e-06
-0.01,VaccinationFull,0.00032073988461914064,5.945466661595766e-05
-0.009,AGE6574,-3.3455209668609335e-05,-2.897670793075189e-06
-0.009,VaccinationFull,0.0003363575201356771,6.234966458001755e-05
-0.008,AGE6574,-3.560547344431063e-05,-3.0839125354518168e-06
-0.008,VaccinationFull,0.0003571827667310341,6.620998302776001e-05
-0.007,AGE6574,-3.4519576552653695e-05,-2.9898592702529497e-06
-0.007,VaccinationFull,0.0003702599957877498,6.863407286227118e-05
-0.006,AGE6574,-3.888521883396923e-05,-3.3679825657542684e-06
-0.006,VaccinationFull,0.00018428502096488872,3.416040539140474e-05
-0.005,AGE6574,-3.916134522326292e-05,-3.3918988221872504e-06
-0.005,VaccinationFull,0.0001851379076403154,3.431850263898871e-05
-0.004,AGE6574,-4.344726039168304e-05,-3.7631166781847783e-06
-0.004,VaccinationFull,0.00018331706971498761,3.3980978941427355e-05
-0.003,AGE6574,-4.0322870840119286e-05,-3.492502551433382e-06
-0.003,VaccinationFull,0.00018621020242282885,3.451727096143813e-05
-0.002,AGE6574,-5.221838298447166e-05,-4.522813778019513e-06
-0.002,VaccinationFull,0.00018602008261380695,3.448202897749869e-05
-0.001,AGE6574,-8.489302139039255e-05,-7.352876608920477e-06
-0.001,VaccinationFull,0.00018007919594993502,3.338078322372188e-05
0.001,AGE6574,-3.128161769996728e-06,-2.7094085156605426e-07
0.001,VaccinationFull,0.00018368766039535548,3.4049674312376985e-05
0.002,AGE6574,1.0933080245632128e-06,9.469516891368035e-08
0.002,VaccinationFull,0.000187602746638033,3.477540303678404e-05
0.003,AGE6574,-2.2091858276243458e-05,-1.913451839815895e-06
0.003,VaccinationFull,0.00018577532519885063,3.443665897144132e-05
0.004,AGE6574,-1.0512577159261663e-05,-9.105304703238496e-07
0.004,VaccinationFull,0.00018472247918042636,3.424149581267894e-05
0.005,AGE6574,-1.954784239899585e-05,-1.693105873443526e-06
0.005,VaccinationFull,0.00018935075295231068,3.509942613974604e-05
0.006,AGE6574,-2.2314300041101563e-05,-1.932718286255004e-06
0.006,VaccinationFull,0.00019761842336076587,3.663198137031553e-05
0.007,AGE6574,-1.12624714937012e-05,-9.754813982158622e-07
0.007,VaccinationFull,0.0001960822739096983,3.6347229588996045e-05
0.008,AGE6574,-2.011428268964747e-05,-1.7421672155334633e-06
0.008,VaccinationFull,0.00019850050700686377,3.6795490779718774e-05
0.009,AGE6574,-1.7496422658507212e-05,-1.5154253529735163e-06
0.009,VaccinationFull,0.0005985017648781478,0.0001109426192571781
0.01,AGE6574,-2.459001986037108e-05,-2.12982620812545e-06
0.01,VaccinationFull,0.0005572444480293246,0.00010329486437434389
