Delta,Feature,Mu_star,Morris_sensitivity
0.0001,AGE4049,0.01724341401207328,0.001069446563898045
0.0001,VaccinationFull,0.00626041183062355,0.0011604752514963901
0.0002,AGE4049,0.015136686401996,0.0009387860924804484
0.0002,VaccinationFull,0.005568208954021578,0.0010321635159358255
0.0003,AGE4049,0.012973365985609126,0.0008046157023073913
0.0003,VaccinationFull,0.004431419560270536,0.0008214400055177782
0.0004,AGE4049,0.010914806825391553,0.0006769426661595556
0.0004,VaccinationFull,0.004986413748969635,0.0009243177455346793
0.0005,AGE4049,0.010552957844312712,0.0006545005819415564
0.0005,VaccinationFull,0.004523792692275704,0.0008385629578882343
0.0006,AGE4049,0.010892675418383109,0.0006755700634277046
0.0006,VaccinationFull,0.004729019799338465,0.0008766053399432839
0.0007,AGE4049,0.010022507784876806,0.0006216017608040458
0.0007,VaccinationFull,0.004300473322217293,0.000797166863007566
0.0008,AGE4049,0.010328265772475304,0.0006405650489900538
0.0008,VaccinationFull,0.00423588840463764,0.000785194935201715
0.0009,AGE4049,0.009988709464051884,0.0006195055692931055
0.0009,VaccinationFull,0.0040935939721358705,0.0007588182092271907
0.001,AGE4049,0.009672600206539494,0.0005999002893278801
0.001,VaccinationFull,0.0038871295774270936,0.0007205464745782493
