Delta,Feature,Mu_star,Morris_sensitivity
-0.01,AGE4049,3.831333463650539e-05,2.376215292969126e-06
-0.01,VaccinationFull,-0.0007325595465192508,-0.00013579254000903893
-0.009,AGE4049,5.0227207557735734e-05,3.1151206193393417e-06
-0.009,VaccinationFull,-0.0007204575603444879,-0.00013354922825420108
-0.008,AGE4049,5.290971150054843e-05,3.28149107372125e-06
-0.008,VaccinationFull,-0.0006957696481068176,-0.0001289728981439697
-0.007,AGE4049,5.9893185450459606e-05,3.714610188913569e-06
-0.007,VaccinationFull,-0.0006691238429430916,-0.00012403363882920049
-0.006,AGE4049,4.701629522758829e-05,2.9159779695108483e-06
-0.006,VaccinationFull,-0.0010205517784666331,-0.0001891768646892984
-0.005,AGE4049,4.698379855847728e-05,2.9139625071961017e-06
-0.005,VaccinationFull,-0.001005730740184991,-0.00018642952975468706
-0.004,AGE4049,4.886126740937464e-05,3.030404217057731e-06
-0.004,VaccinationFull,-0.0009838658423942128,-0.00018237649403608178
-0.003,AGE4049,3.4937731220330557e-05,2.1668584062190284e-06
-0.003,VaccinationFull,-0.0009567054328936132,-0.00017734184393658283
-0.002,AGE4049,-6.858607847270815e-06,-4.2537484689819957e-07
-0.002,VaccinationFull,-0.0009245073646522455,-0.0001713733769489442
-0.001,AGE4049,-7.342531852390187e-05,-4.55388095092573e-06
-0.001,VaccinationFull,-0.0008875612249230747,-0.0001645247730624871
0.001,AGE4049,-1.2832848863602724e-05,-7.959007486912819e-07
0.001,VaccinationFull,-0.0008180883971656805,-0.00015164678684605998
0.002,AGE4049,-3.608369147270559e-05,-2.237931527435519e-06
0.002,VaccinationFull,-0.0007771252021734544,-0.000144053552519499
0.003,AGE4049,-4.392609388729602e-05,-2.724321885465381e-06
0.003,VaccinationFull,-0.0007475787255375303,-0.00013857660374479017
0.004,AGE4049,-4.460906396147657e-05,-2.7666800866061864e-06
0.004,VaccinationFull,-0.0007166619806289378,-0.00013284565212468325
0.005,AGE4049,-3.1713223020799425e-05,-1.966872532665499e-06
0.005,VaccinationFull,-0.0006845015472152624,-0.00012688416140111682
0.006,AGE4049,-4.147026056474261e-05,-2.572009674758606e-06
0.006,VaccinationFull,-0.0006657501749869609,-0.0001234082713173213
0.007,AGE4049,-3.4185692677518587e-05,-2.1202165384910924e-06
0.007,VaccinationFull,-0.0006435475893365646,-0.00011929263933278021
0.008,AGE4049,-2.292456556843185e-05,-1.4217948869550512e-06
0.008,VaccinationFull,-0.0006193031273746897,-0.00011479851037548456
0.009,AGE4049,-4.261415602387013e-06,-2.6429547362972293e-07
0.009,VaccinationFull,-0.0004118898807535509,-7.635088966801829e-05
0.01,AGE4049,5.041558023400972e-06,3.126803602258643e-07
0.01,VaccinationFull,-0.00042538664006135703,-7.885274666654622e-05
