Delta,Feature,Mu_star,Morris_sensitivity
0.0001,AGE5064,0.0072609804606255345,0.0006173074161922922
0.0001,VaccinationFull,0.004942552775484761,0.0009161873580118083
0.0002,AGE5064,0.006020493973378911,0.0005118448671031992
0.0002,VaccinationFull,0.004923733773336091,0.0009126989315564495
0.0003,AGE5064,0.006168156868324242,0.0005243987364656741
0.0003,VaccinationFull,0.0039549986961521615,0.0007331271856803601
0.0004,AGE5064,0.005142732495453954,0.0004372201421215948
0.0004,VaccinationFull,0.004374163637667983,0.0008108266332701512
0.0005,AGE5064,0.005222332895845072,0.00044398753638188456
0.0005,VaccinationFull,0.0037564272118774146,0.0006963185380405136
0.0006,AGE5064,0.004939121247937629,0.0004199097067343106
0.0006,VaccinationFull,0.0036252964811439993,0.0006720111966316963
0.0007,AGE5064,0.0043589108284282484,0.00037058190632809307
0.0007,VaccinationFull,0.0032111596515364297,0.0005952437962600672
0.0008,AGE5064,0.0041829997182914105,0.00035562645596337274
0.0008,VaccinationFull,0.003076912211828531,0.0005703587191161482
0.0009,AGE5064,0.0040437270974715365,0.00034378590327618946
0.0009,VaccinationFull,0.0029034333789755315,0.0005382014269713065
0.001,AGE5064,0.004390279984285897,0.00037324882061819846
0.001,VaccinationFull,0.002784839225746408,0.0005162179563118594
